H,1,,,,00000000,,1,,,AHUJA,,,23-MADHYA PRADE,8,0,,0,,,,,,,,,S,,ATGA,,AHUJA DISTRIBUTORS JABALPUR (M.P),8411055776,23ANXPA5038Q1ZG,,ZYNYNGANNN1N1INN M,M ,2,"PLOT NO.131/6,S-3,SHOP NO.03,BASMENT AND GROUND MEDICINE COMPLEX NAPIER TOWN"
T,,,,,,,,,,,,,0,,0.00,,,0,,,,0,0,0,,,,,,,,,,,,,
F,,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
